Date,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases
2020-02-24T18:00:00,166,166,0,6,172
2020-02-25T18:00:00,231,68,0,9,240
2020-02-26T18:00:00,249,18,0,9,258
2020-02-27T18:00:00,349,145,40,14,403
2020-02-28T18:00:00,474,128,40,17,531
2020-02-29T17:00:00,552,84,40,23,615
2020-03-01T17:00:00,887,369,73,24,984
2020-03-02T18:00:00,1077,270,139,38,1254
2020-03-03T18:00:00,1326,266,139,55,1520
2020-03-04T17:00:00,1497,300,250,73,1820
2020-03-05T17:00:00,1777,431,376,98,2251
2020-03-06T17:00:00,2008,361,469,135,2612
2020-03-07T18:00:00,2742,808,524,154,3420
2020-03-08T18:00:00,3372,769,550,267,4189
2020-03-09T18:00:00,4490,1280,646,333,5469
2020-03-10T18:00:00,4427,322,896,468,5791
2020-03-11T17:00:00,5763,1489,900,617,7280
2020-03-12T17:00:00,6896,1445,1085,744,8725
2020-03-13T17:00:00,7732,1095,1198,890,9820
2020-03-14T17:00:00,9059,1865,1660,966,11685
2020-03-15T17:00:00,10043,1587,2011,1218,13272
2020-03-16T17:00:00,10861,1377,2368,1420,14649
2020-03-17T17:00:00,12095,1571,2485,1640,16220
2020-03-18T17:00:00,12266,1493,3488,1959,17713
2020-03-19T17:00:00,13938,2171,3778,2168,19884
2020-03-20T17:00:00,15420,2380,4295,2549,22264
2020-03-21T17:00:00,17370,3251,5050,3095,25515
2020-03-22T17:00:00,17885,1691,5865,3456,27206
2020-03-23T17:00:00,18910,1555,6075,3776,28761
2020-03-24T17:00:00,19868,1942,6657,4178,30703
2020-03-25T17:00:00,20591,1643,7281,4474,32346
2020-03-26T17:00:00,22189,2543,7839,4861,34889
2020-03-27T17:00:00,23895,2409,8001,5402,37298
2020-03-28T17:00:00,24509,2117,8962,5944,39415
2020-03-29T17:00:00,25392,1592,9255,6360,41007
2020-03-30T17:00:00,25006,1154,10337,6818,42161
2020-03-31T17:00:00,25124,1047,10885,7199,43208
2020-04-01T17:00:00,25765,1565,11415,7593,44773
2020-04-02T17:00:00,25876,1292,12229,7960,46065
2020-04-03T17:00:00,26189,1455,13020,8311,47520
2020-04-04T17:00:00,27220,1598,13242,8656,49118
2020-04-05T17:00:00,28124,1337,13426,8905,50455
2020-04-06T17:00:00,28469,1079,13863,9202,51534
2020-04-07T17:00:00,28343,791,14498,9484,52325
2020-04-08T17:00:00,28545,1089,15147,9722,53414
2020-04-09T17:00:00,29074,1388,15706,10022,54802
2020-04-10T17:00:00,29530,1246,16280,10238,56048
2020-04-11T17:00:00,30258,1544,16823,10511,57592
2020-04-12T17:00:00,31265,1460,17166,10621,59052
2020-04-13T17:00:00,31935,1262,17478,10901,60314
2020-04-14T17:00:00,32363,1012,17821,11142,61326
2020-04-15T17:00:00,32921,827,17855,11377,62153
2020-04-16T17:00:00,33090,941,18396,11608,63094
2020-04-17T17:00:00,33434,1041,18850,11851,64135
2020-04-18T17:00:00,34195,1246,19136,12050,65381
2020-04-19T17:00:00,34497,855,19526,12213,66236
2020-04-20T17:00:00,34587,735,20008,12376,66971
2020-04-21T17:00:00,33978,960,21374,12579,67931
2020-04-22T17:00:00,34242,1161,22110,12740,69092
2020-04-23T17:00:00,33873,1073,23352,12940,70165
2020-04-24T17:00:00,34368,1091,23782,13106,71256
2020-04-25T17:00:00,34473,713,24227,13269,71969
2020-04-26T17:00:00,35166,920,24398,13325,72889
2020-04-27T17:00:00,35441,590,24589,13449,73479
2020-04-28T17:00:00,35744,869,25029,13575,74348
2020-04-29T17:00:00,36122,786,25333,13679,75134
2020-04-30T17:00:00,36211,598,25749,13772,75732
2020-05-01T17:00:00,36473,737,26136,13860,76469
2020-05-02T17:00:00,36667,533,26146,14189,77002
2020-05-03T17:00:00,36926,526,26371,14231,77528
2020-05-04T17:00:00,37307,577,26504,14294,78105
2020-05-05T17:00:00,37092,500,27124,14389,78605
2020-05-06T17:00:00,31753,764,33005,14611,79369
2020-05-07T17:00:00,32015,720,33329,14745,80089
2020-05-08T17:00:00,31983,634,33901,14839,80723
2020-05-09T17:00:00,30262,502,36039,14924,81225
2020-05-10T17:00:00,30190,282,36331,14986,81507
2020-05-11T17:00:00,30411,364,36406,15054,81871
2020-05-12T17:00:00,30675,1033,37113,15116,82904
2020-05-13T17:00:00,30032,394,38081,15185,83298
2020-05-14T17:00:00,29956,522,38568,15296,83820
2020-05-15T17:00:00,27746,299,40962,15411,84119
2020-05-16T17:00:00,27679,399,41389,15450,84518
2020-05-17T17:00:00,27430,326,41895,15519,84844
2020-05-18T17:00:00,27073,175,42403,15543,85019
2020-05-19T17:00:00,27291,462,42593,15597,85481
2020-05-20T17:00:00,26671,294,43442,15662,85775
2020-05-21T17:00:00,26715,316,43649,15727,86091
2020-05-22T17:00:00,25933,293,44667,15784,86384
2020-05-23T17:00:00,25630,441,45355,15840,86825
2020-05-24T17:00:00,25614,285,45656,15840,87110
2020-05-25T17:00:00,25215,148,46169,15874,87258
2020-05-26T17:00:00,24477,159,47044,15896,87417
2020-05-27T17:00:00,24037,384,47810,15954,87801
2020-05-28T17:00:00,22913,382,49296,15974,88183
2020-05-29T17:00:00,22683,354,49842,16012,88537
2020-05-30T17:00:00,21809,221,50870,16079,88758
2020-05-31T17:00:00,20996,210,51860,16112,88968
2020-06-01T17:00:00,20861,50,52026,16131,89018
2020-06-02T17:00:00,20255,187,52807,16143,89205
2020-06-03T17:00:00,20224,237,53046,16172,89442
2020-06-04T17:00:00,20224,84,53101,16201,89526
2020-06-05T17:00:00,19853,402,53853,16222,89928
2020-06-06T17:00:00,19499,142,54322,16249,90070
2020-06-07T17:00:00,19420,125,54505,16270,90195
2020-06-08T17:00:00,19319,194,54768,16302,90389
2020-06-09T17:00:00,18297,192,55967,16317,90581
2020-06-10T17:00:00,17857,99,56474,16349,90680
2020-06-11T17:00:00,17340,252,57218,16374,90932
2020-06-12T17:00:00,17024,272,57775,16405,91204
2020-06-13T17:00:00,16785,210,58201,16428,91414
2020-06-14T17:00:00,15989,244,59220,16449,91658
2020-06-15T17:00:00,15976,259,59484,16457,91917
2020-06-16T17:00:00,15233,143,60361,16466,92060
2020-06-17T17:00:00,14972,242,60850,16480,92302
2020-06-18T17:00:00,14647,216,61355,16516,92518
2020-06-19T17:00:00,14045,157,62096,16534,92675
2020-06-20T17:00:00,13911,165,62372,16557,92840
2020-06-21T17:00:00,13843,128,62555,16570,92968
2020-06-22T17:00:00,13638,143,62900,16573,93111
2020-06-23T17:00:00,12903,62,63691,16579,93173
2020-06-24T17:00:00,12227,88,64448,16586,93261
2020-06-25T17:00:00,11992,170,64831,16608,93431
2020-06-26T17:00:00,11640,156,65323,16624,93587
2020-06-27T17:00:00,10992,77,66046,16626,93664
2020-06-28T17:00:00,10947,97,66175,16639,93761
2020-06-29T17:00:00,10823,78,66376,16640,93839
2020-06-30T17:00:00,10060,62,67197,16644,93901
2020-07-01T17:00:00,9938,109,67422,16650,94010
2020-07-02T17:00:00,9827,98,67610,16671,94108
2020-07-03T17:00:00,9677,115,67871,16675,94223
2020-07-04T17:00:00,9426,95,68201,16691,94318
2020-07-05T17:00:00,9445,98,68274,16697,94416
2020-07-06T17:00:00,9492,111,68335,16700,94527
2020-07-07T17:00:00,9074,53,68793,16713,94580
2020-07-08T17:00:00,8460,71,69466,16725,94651
2020-07-09T17:00:00,8357,119,69683,16730,94770
2020-07-10T17:00:00,8341,135,69828,16736,94905
2020-07-11T17:00:00,8212,67,70020,16740,94972
2020-07-12T17:00:00,8004,77,70297,16748,95049
2020-07-13T17:00:00,8011,94,70375,16757,95143
2020-07-14T17:00:00,7952,30,70461,16760,95173
2020-07-15T17:00:00,7535,63,70936,16765,95236
2020-07-16T17:00:00,7509,80,71032,16775,95316
2020-07-17T17:00:00,7421,55,71172,16778,95371
2020-07-18T17:00:00,7255,88,71416,16788,95459
2020-07-19T17:00:00,7240,33,71464,16788,95492
2020-07-20T17:00:00,7141,56,71611,16796,95548
2020-07-21T17:00:00,7010,34,71775,16797,95582
2020-07-22T17:00:00,6975,51,71860,16798,95633
2020-07-23T17:00:00,6941,82,71973,16801,95715
2020-07-24T17:00:00,6759,53,72208,16801,95768
2020-07-25T17:00:00,6775,79,72271,16801,95847
2020-07-26T17:00:00,6771,74,72349,16801,95921
2020-07-27T17:00:00,6725,34,72429,16801,95955
2020-07-28T17:00:00,6678,53,72528,16802,96008
2020-07-29T17:00:00,6563,46,72689,16802,96054
2020-07-30T17:00:00,6035,88,73305,16802,96142
2020-07-31T17:00:00,6011,77,73402,16806,96219
2020-08-01T17:00:00,5955,55,73512,16807,96274
2020-08-02T17:00:00,5821,38,73676,16815,96312
2020-08-03T17:00:00,5795,25,73724,16818,96337
2020-08-04T17:00:00,5752,44,73810,16819,96381
2020-08-05T17:00:00,5823,138,73872,16824,96519
2020-08-06T17:00:00,5728,118,74080,16829,96637
2020-08-07T17:00:00,5645,69,74232,16829,96706
2020-08-08T17:00:00,5547,76,74403,16832,96782
2020-08-09T17:00:00,5588,71,74432,16833,96853
2020-08-10T17:00:00,5547,31,74504,16833,96884
2020-08-11T17:00:00,5514,68,74605,16833,96952
2020-08-12T17:00:00,5521,102,74700,16833,97054
2020-08-13T17:00:00,5539,74,74754,16835,97128
2020-08-14T17:00:00,5377,97,75012,16836,97225
2020-08-15T17:00:00,5357,94,75125,16837,97319
2020-08-16T17:00:00,5377,61,75163,16840,97380
2020-08-17T17:00:00,5335,43,75248,16840,97423
2020-08-18T17:00:00,5314,50,75319,16840,97473
2020-08-19T17:00:00,5322,91,75398,16844,97564
2020-08-20T17:00:00,5423,154,75449,16846,97718
2020-08-21T17:00:00,5494,174,75546,16852,97892
2020-08-22T17:00:00,5576,185,75649,16852,98077
2020-08-23T17:00:00,5782,239,75678,16856,98316
2020-08-24T17:00:00,5864,110,75705,16857,98426
2020-08-25T17:00:00,5787,119,75901,16857,98545
2020-08-26T17:00:00,5969,269,75988,16857,98814
2020-08-27T17:00:00,6225,286,76018,16857,99100
2020-08-28T17:00:00,6454,316,76102,16860,99416
2020-08-29T17:00:00,6645,289,76200,16860,99705
2020-08-30T17:00:00,6829,235,76248,16863,99940
2020-08-31T17:00:00,6952,135,76258,16865,100075
2020-09-01T17:00:00,7082,242,76368,16867,100317
2020-09-02T17:00:00,7278,237,76407,16869,100554
2020-09-03T17:00:00,7445,228,76467,16870,100782
2020-09-04T17:00:00,7669,337,76574,16876,101119
2020-09-05T17:00:00,7922,388,76708,16877,101507
2020-09-06T17:00:00,8031,198,76794,16880,101705
2020-09-07T17:00:00,8110,109,76818,16886,101814
2020-09-08T17:00:00,8221,271,76976,16888,102085
2020-09-09T17:00:00,8324,218,77088,16891,102303
2020-09-10T17:00:00,8452,245,77204,16892,102548
2020-09-11T17:00:00,8591,257,77318,16896,102805
2020-09-12T17:00:00,8567,269,77611,16896,103074
2020-09-13T17:00:00,8789,265,77651,16899,103339
2020-09-14T17:00:00,8848,125,77715,16901,103464
2020-09-15T17:00:00,8799,176,77938,16903,103640
2020-09-16T17:00:00,8804,159,78090,16905,103799
2020-09-17T17:00:00,8934,281,78240,16906,104080
2020-09-18T17:00:00,9027,224,78369,16908,104304
2020-09-19T17:00:00,8935,243,78695,16917,104547
2020-09-20T17:00:00,9007,211,78829,16922,104758
2020-09-21T17:00:00,9076,90,78849,16923,104848
2020-09-22T17:00:00,9027,182,79078,16925,105030
2020-09-23T17:00:00,9104,196,79197,16925,105226
2020-09-24T17:00:00,9048,229,79472,16935,105455
2020-09-25T17:00:00,9171,277,79624,16937,105732
2020-09-26T17:00:00,9087,256,79960,16941,105988
2020-09-27T17:00:00,9237,216,80021,16946,106204
2020-09-28T17:00:00,9334,119,80041,16948,106323
2020-09-29T17:00:00,9099,203,80476,16951,106526
2020-09-30T17:00:00,9060,201,80712,16955,106727
2020-10-01T17:00:00,9167,324,80924,16960,107051
2020-10-02T17:00:00,9166,307,81228,16964,107358
2020-10-03T17:00:00,9162,393,81620,16969,107751
2020-10-04T17:00:00,9361,314,81733,16971,108065
2020-10-05T17:00:00,9532,251,81811,16973,108316
2020-10-06T17:00:00,9509,350,82184,16973,108666
2020-10-07T17:00:00,9877,520,82331,16978,109186
2020-10-08T17:00:00,10406,683,82484,16979,109869
2020-10-09T17:00:00,11128,983,82744,16980,110852
2020-10-10T17:00:00,12022,1140,82988,16982,111992
2020-10-11T17:00:00,12849,1032,83190,16985,113024
2020-10-12T17:00:00,13379,696,83353,16988,113720
2020-10-13T17:00:00,14256,1080,83550,16994,114800
2020-10-14T17:00:00,15218,1844,84415,17011,116644
2020-10-15T17:00:00,17050,2067,84624,17037,118711
2020-10-16T17:00:00,19128,2419,84958,17044,121130
2020-10-17T17:00:00,21625,2664,85112,17057,123794
2020-10-18T17:00:00,23294,2975,86397,17078,126769
2020-10-19T17:00:00,24634,1687,86738,17084,128456
2020-10-20T17:00:00,26304,2023,87072,17103,130479
2020-10-21T17:00:00,29890,4125,87591,17123,134604
2020-10-22T17:00:00,33518,4125,88059,17152,138729
2020-10-23T17:00:00,37950,4916,88536,17159,143645
2020-10-24T17:00:00,42685,4956,88706,17210,148601
2020-10-25T17:00:00,47983,5762,89145,17235,154363
2020-10-26T17:00:00,50325,3570,90356,17252,157933
2020-10-27T17:00:00,54884,5035,90774,17310,162968
2020-10-28T17:00:00,61406,7558,91763,17357,170526
2020-10-29T17:00:00,67884,7339,92567,17414,177865
2020-10-30T17:00:00,75229,8960,94134,17462,186825
2020-10-31T17:00:00,82011,8919,96198,17535,195744
2020-11-01T17:00:00,90075,8607,96687,17589,204351
2020-11-02T17:00:00,94418,5278,97576,17635,209629
2020-11-03T17:00:00,98566,6804,100115,17752,216433
2020-11-04T17:00:00,104733,7758,101610,17848,224191
2020-11-05T17:00:00,112524,8822,102502,17987,233013
2020-11-06T17:00:00,117366,9934,107463,18118,242947
2020-11-07T17:00:00,127629,11489,108581,18226,254436
2020-11-08T17:00:00,132410,6318,110001,18343,260754
2020-11-09T17:00:00,131459,4777,115630,18442,265531
2020-11-10T17:00:00,135505,10955,122410,18571,276486
2020-11-11T17:00:00,141918,8180,124025,18723,284666
2020-11-12T17:00:00,142793,9291,132254,18910,293957
2020-11-13T17:00:00,151269,10634,134294,19028,304591
2020-11-14T17:00:00,156279,8129,137255,19186,312720
2020-11-15T17:00:00,162541,8060,138872,19367,320780
2020-11-16T17:00:00,152339,4128,153103,19466,324908
2020-11-17T17:00:00,156567,8448,157121,19668,333356
2020-11-18T17:00:00,152083,7633,169056,19850,340989
2020-11-19T17:00:00,155580,7453,172847,20015,348442
2020-11-20T17:00:00,159641,9221,177832,20190,357663
2020-11-21T17:00:00,162685,8853,183472,20359,366516
2020-11-22T17:00:00,164406,5094,186680,20524,371610
2020-11-23T17:00:00,149918,5289,206317,20664,376899
2020-11-24T17:00:00,148760,4886,212175,20850,381785
2020-11-25T17:00:00,138029,5173,227924,21005,386958
2020-11-26T17:00:00,140401,5697,231042,21212,392655
2020-11-27T17:00:00,130555,5389,246096,21393,398044
2020-11-28T17:00:00,130315,4615,250832,21512,402659
2020-11-29T17:00:00,132627,3203,251588,21647,405862
2020-11-30T17:00:00,125408,1929,260528,21855,407791
2020-12-01T17:00:00,121033,4048,268702,22104,411839
2020-12-02T17:00:00,118796,3425,274189,22279,415264
2020-12-03T17:00:00,118331,3751,278058,22626,419015
2020-12-04T17:00:00,116702,4533,284073,22773,423548
2020-12-05T17:00:00,115756,3148,288056,22884,426696
2020-12-06T17:00:00,116379,2413,289706,23024,429109
